burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
coalescentEventsStatistic34	3168.3014	2963.133	2295.5874	0.34	9162.2377	3955.1935	0.34	2295.5874	
coalescentEventsStatistic35	2734.3884	2601.8009	1954.0197	2.6397E-3	7927.538	3552.7986	0.5599	1954.3367	
coalescentEventsStatistic36	2406.4279	2302.1213	1698.6666	0.0167	7047.7836	3745.2104	0.0167	1698.6666	
coalescentEventsStatistic37	2207.445	2119.0616	1556.1903	0.495	6485.3604	2580.4436	0.495	1556.1903	
coalescentEventsStatistic38	2063.2616	1955.1763	1475.7032	0.0541	6105.3518	2809.0841	0.2238	1475.7335	
coalescentEventsStatistic39	1930.1714	1832.2442	1389.1103	0.1221	5617.303	3676.3939	0.1221	1389.1103	
coalescentEventsStatistic40	1841.1149	1770.5364	1298.6263	0.8255	5369.3457	3147.866	0.8255	1298.6263	
coalescentEventsStatistic41	1748.5898	1685.1725	1235.3248	0.2193	5142.1834	3331.8347	0.2193	1235.3248	
coalescentEventsStatistic42	1680.6859	1601.4435	1195.4289	0.1487	4940.9643	3465.7344	0.1487	1195.4289	
coalescentEventsStatistic43	1629.1269	1564.6297	1165.3797	0.575	4797.4646	3539.6016	0.9633	1165.6406	
coalescentEventsStatistic44	1600.1448	1512.6996	1153.302	0.1166	4659.5055	4205.804	0.1166	1153.302	
coalescentEventsStatistic45	1567.3061	1450.7687	1144.3639	0.0507	4507.6925	5422.3856	1.2703	1145.3501	
coalescentEventsStatistic46	1591.745	1474.3166	1163.5883	0.0217	4581.0024	5318.142	0.4821	1163.9503	
coalescentEventsStatistic47	1589.8756	1479.0785	1152.9213	0.0479	4556.8444	5624.8474	0.0479	1152.9213	
coalescentEventsStatistic48	1584.0543	1447.2602	1167.2072	0.0458	4527.1574	4897.0875	2.111	1168.8594	
coalescentEventsStatistic49	1566.3197	1440.027	1152.1076	0.1446	4505.5245	5702.2906	0.1446	1152.1076	
coalescentEventsStatistic50	1569.9666	1438.7007	1155.1303	0.0915	4465.7588	4172.5397	0.2553	1155.1671	
coalescentEventsStatistic51	1582.2861	1428.7146	1176.4271	0.4064	4431.7482	3930.4425	0.5606	1176.4803	
coalescentEventsStatistic52	1542.7902	1388.3813	1149.5011	0.149	4322.5673	3722.8488	0.149	1149.5011	
coalescentEventsStatistic53	1532.0666	1379.4498	1135.4237	0.2809	4333.986	4308.8839	2.6864	1137.2428	
coalescentEventsStatistic54	1494.8632	1352.5072	1109.8522	0.1147	4232.5308	5482.2376	0.1147	1109.8522	
coalescentEventsStatistic55	1490.3617	1322.676	1124.8596	0.3758	4186.4356	3023.5817	0.3758	1124.8596	
coalescentEventsStatistic56	1463.1134	1300.5192	1094.1481	0.6056	4055.1284	5366.2659	2.5052	1095.9865	
coalescentEventsStatistic57	1423.8492	1257.3378	1070.2357	0.2248	3977.8566	5022.8748	0.2248	1070.2357	
coalescentEventsStatistic58	1389.5062	1237.4816	1047.8712	0.2461	3830.0445	5276.8019	0.2461	1047.8712	
coalescentEventsStatistic59	1414.8141	1252.1215	1077.1	0.0228	3925.932	4655.479	0.3637	1077.2657	
coalescentEventsStatistic60	1371.9369	1224.6762	1020.4201	0.1237	3802.6716	5115.1905	0.5562	1020.4816	
coalescentEventsStatistic61	1390.7042	1247.0593	1066.1928	0.2234	3918.9652	4654.0209	0.2234	1066.1928	
coalescentEventsStatistic62	1401.2634	1283.3994	1014.3728	0.1357	3956.2037	3930.5174	0.7854	1014.5598	
coalescentEventsStatistic63	1433.2612	1332.1115	1042.6915	0.0226	4173.8502	3097.424	0.0226	1042.6915	
coalescentEventsStatistic64	1480.0264	1388.6706	1063.7357	0.0812	4316.3022	2885.7668	0.4751	1064.0301	
coalescentEventsStatistic65	1646.2245	1524.1786	1179.7452	0.1174	4797.4813	1560.8064	0.1174	1179.7452	
coalescentEventsStatistic66	2143.8705	1931.8261	1559.8057	0.1099	6068.8411	1781.9304	2.9627	1561.9664	
coalescentEventsStatistic67	2263.8726	1901.4206	1761.5266	0.6861	6052.5381	2161.2926	2.8677	1762.5789	
coalescentEventsStatistic68	1858.5223	1591.7525	1447.9664	0.0479	5036.4489	2352.6559	0.0479	1447.9664	
coalescentEventsStatistic69	1299.3789	1243.1808	901.8708	6.1185E-3	3860.9522	2622.0785	6.1185E-3	901.8708	
coalescentEventsStatistic70	936.5286	933.5777	643.9745	0.0369	2837.5431	3050.4201	0.0369	643.9745	
coalescentEventsStatistic71	784.1429	780.8806	544.1275	0.0653	2358.3687	2478.8842	0.0653	544.1275	
coalescentEventsStatistic72	737.6321	712.797	524.7784	3.3163E-4	2159.7977	2858.3726	3.3163E-4	524.7784	
coalescentEventsStatistic73	700.2885	672.3208	499.5025	0.1155	2072.771	2797.7931	0.2025	499.5702	
coalescentEventsStatistic74	704.9027	692.6503	496.9565	3.7015E-3	2063.5048	2613.1004	3.7015E-3	496.9565	
coalescentEventsStatistic75	723.6417	700.44	524.1638	0.0261	2128.8589	2024.8705	0.0261	524.1638	
coalescentEventsStatistic76	783.3362	781.5346	558.5974	0.07	2322.2454	1653.0183	0.4384	558.7064	
coalescentEventsStatistic77	951.9814	967.1584	650.02	0.0555	2941.2918	1824.7145	0.0555	650.02	
coalescentEventsStatistic78	1440.7416	1348.8868	1024.4346	5.0237E-3	4148.3977	3123.2149	5.0237E-3	1024.4346	
coalescentEventsStatistic79	3611.7799	2095.486	3603.0121	1.1386	7069.8124	1877.0541	2129.775	5369.0959	
coalescentEventsStatistic80	1759.9989	1376.9117	1483.1442	0.0923	4476.4739	3098.2811	4.2214	1486.8602	
coalescentEventsStatistic81	1266.4244	948.1	1104.7667	0.2039	2989.6243	3741.1126	0.2039	1104.7667	
coalescentEventsStatistic82	1159.7132	825.4404	1047.6256	0.2101	2645.533	3211.9268	0.2101	1047.6256	
coalescentEventsStatistic83	1170.3477	928.253	955.5297	0.2336	2988.6723	3556.5038	1.3779	956.4898	
coalescentEventsStatistic84	3705.0342	986.3997	3714.6777	1861.8281	5719.6844	2984.924	3067.8207	4315.7686	
coalescentEventsStatistic85	2477.8869	1566.9029	2321.3616	0.5878	5276.4014	906.0503	392.3846	2655.8434	
coalescentEventsStatistic86	4171.6968	1844.8878	4186.7654	348.38	7506.7867	1400.7935	2999.6572	5540.7644	
coalescentEventsStatistic87	3028.0684	1612.4922	2981.6597	8.9669	5770.0976	2028.4403	1888.1108	4187.0122	
coalescentEventsStatistic88	1919.4396	1206.1462	1805.8679	0.1835	4052.2138	1472.4175	420.1534	2180.5509	
coalescentEventsStatistic89	1537.2776	488.2769	1511.84	665.2328	2564.9549	4389.2919	1124.971	1753.6043	
coalescentEventsStatistic90	5881.3371	729.1571	5887.8859	4419.0522	7268.3092	823.0403	5359.5928	6309.4174	
coalescentEventsStatistic91	724.6757	420.3117	712.8701	0.0244	1453.0972	1879.4405	498.2158	1042.5033	
coalescentEventsStatistic92	564.5	285.7865	577.8843	1.7279	1024.7159	3155.3325	397.4423	785.3442	
coalescentEventsStatistic93	594.8057	270.2255	610.661	3.4211	1004.4053	1920.4605	469.8998	794.5808	
coalescentEventsStatistic94	2578.5565	633.9072	2618.9024	1304.647	3696.7085	556.5176	2247.8248	3132.5598	
coalescentEventsStatistic95	647.0761	420.2938	600.8675	0.0289	1399.5217	911.2255	60.5855	651.4796	
coalescentEventsStatistic96	2567.0269	369.5874	2570.5551	1844.2868	3289.9434	488.9608	2352.2996	2848.472	
coalescentEventsStatistic97	4429.746	270.1963	4426.0565	3897.2701	4954.2817	1089.4354	4216.3648	4573.3054	
coalescentEventsStatistic98	307.236	107.4571	303.998	96.501	517.5613	4399.303	222.7334	367.1919	
coalescentEventsStatistic99	3199.2737	137.2681	3196.1847	2930.0146	3459.7153	419.8781	3098.2473	3279.1745	
treeLikelihood	-72470.3591	18.1871	-72470.3508	-72505.1758	-72435.3739	272.604	-72481.6964	-72456.5794	
branchRates	0	0	0	0	0	NaN	0	0	
coalescent	-1422.5537	21.4757	-1422.3477	-1463.7062	-1380.2898	450.322	-1435.9658	-1407.4804	

