"","Position","C.T","G.A"
"1",1,0.987639678235664,0.966008311788083
"2",2,0.980982673069372,0.911733431942011
"3",3,0.970283326309394,0.811029571006317
"4",4,0.954470776236628,0.718221221654715
"5",5,0.934006764847071,0.681316405479739
"6",6,0.911036498850586,0.684175313304809
"7",7,0.888599736389556,0.700624040865745
"8",8,0.871162275502299,0.708522527331268
"9",9,0.86264693595762,0.697700043741858
"10",10,0.859800896643195,0.680652004309011
"11",11,0.8605049747555,0.657710630039271
"12",12,0.864726254376248,0.616192939228677
"13",-12,0.329936323491299,0.881904369723488
"14",-11,0.312077228347416,0.883719366705341
"15",-10,0.306280256387185,0.886182885728283
"16",-9,0.30948974635331,0.890143698671624
"17",-8,0.306984978121945,0.89700215357252
"18",-7,0.304248819725125,0.907674708697819
"19",-6,0.299416878188201,0.922580691852935
"20",-5,0.298655293895429,0.940396163261402
"21",-4,0.311326911721593,0.958211356469887
"22",-3,0.339809644351473,0.973135403878951
"23",-2,0.376641474230064,0.983866992403552
"24",-1,0.370950143589064,0.990760389038477
