NODE_1_length_65029_cov_9.892185	65029	56.82
NODE_2_length_58687_cov_9.983054	58687	56.54
NODE_3_length_48767_cov_9.772867	48767	57.48
NODE_4_length_48353_cov_10.343825	48353	58.43
NODE_5_length_43980_cov_9.652181	43980	57.01
NODE_6_length_42089_cov_9.806515	42089	58.73
NODE_7_length_38839_cov_10.080598	38839	58.61
NODE_8_length_38514_cov_9.622710	38514	58.30
NODE_9_length_38431_cov_9.584266	38431	59.36
NODE_10_length_32548_cov_9.817522	32548	58.00
NODE_11_length_31930_cov_8.702987	31930	56.92
NODE_12_length_31038_cov_10.087781	31038	58.44
NODE_13_length_30099_cov_10.656269	30099	57.86
NODE_14_length_29475_cov_9.870984	29475	57.54
NODE_15_length_27870_cov_9.874897	27870	57.75
NODE_16_length_27767_cov_9.440299	27767	58.46
NODE_17_length_27545_cov_9.631523	27545	56.14
NODE_18_length_27336_cov_9.352510	27336	56.76
NODE_19_length_27282_cov_9.051701	27282	58.43
NODE_20_length_27155_cov_9.787178	27155	58.38
NODE_21_length_27076_cov_10.184161	27076	59.67
NODE_22_length_26842_cov_9.954798	26842	56.86
NODE_23_length_26045_cov_10.115852	26045	57.99
NODE_24_length_26024_cov_9.290825	26024	57.05
NODE_25_length_25727_cov_9.398708	25727	59.81
NODE_26_length_25036_cov_8.952413	25036	54.31
NODE_27_length_24835_cov_9.146981	24835	57.02
NODE_28_length_24057_cov_10.647328	24057	58.97
NODE_29_length_23336_cov_10.269661	23336	58.64
NODE_30_length_23246_cov_9.041651	23246	55.36
NODE_31_length_23043_cov_9.204310	23043	57.38
NODE_32_length_22866_cov_9.497307	22866	58.70
NODE_33_length_22860_cov_10.004292	22860	57.75
NODE_34_length_22656_cov_9.695231	22656	57.64
NODE_35_length_22186_cov_9.763009	22186	58.48
NODE_36_length_21338_cov_9.707682	21338	59.18
NODE_37_length_21271_cov_9.937529	21271	57.83
NODE_38_length_21109_cov_9.917742	21109	58.24
NODE_39_length_20565_cov_8.990115	20565	56.34
NODE_40_length_20507_cov_9.824641	20507	56.89
NODE_41_length_20429_cov_10.672353	20429	57.28
NODE_42_length_20126_cov_9.977658	20126	58.59
NODE_43_length_19966_cov_10.545468	19966	57.51
NODE_44_length_19735_cov_9.525069	19735	57.30
NODE_45_length_19301_cov_9.677823	19301	57.80
NODE_46_length_19292_cov_9.703421	19292	57.33
NODE_47_length_19287_cov_10.275314	19287	57.84
NODE_48_length_19099_cov_9.362821	19099	57.60
NODE_49_length_18873_cov_9.707440	18873	59.04
NODE_50_length_18707_cov_8.801210	18707	54.86
NODE_51_length_18699_cov_9.819336	18699	57.94
NODE_52_length_18546_cov_9.980288	18546	58.63
NODE_53_length_18300_cov_9.600898	18300	58.12
NODE_54_length_17741_cov_10.046579	17741	58.72
NODE_55_length_17586_cov_9.135900	17586	56.25
NODE_56_length_17526_cov_9.939761	17526	59.15
NODE_57_length_17522_cov_10.116161	17522	58.58
NODE_58_length_17517_cov_10.119682	17517	57.32
NODE_59_length_17366_cov_9.680741	17366	58.16
NODE_60_length_16827_cov_8.644660	16827	55.37
NODE_61_length_16291_cov_8.942750	16291	55.74
NODE_62_length_16140_cov_10.085345	16140	57.34
NODE_63_length_16033_cov_9.506748	16033	56.75
NODE_64_length_15949_cov_9.545163	15949	56.89
NODE_65_length_15848_cov_10.325684	15848	60.42
NODE_66_length_15833_cov_9.700835	15833	57.71
NODE_68_length_15679_cov_9.060511	15679	56.95
NODE_69_length_15246_cov_10.031215	15246	56.39
NODE_70_length_15109_cov_8.426127	15109	54.56
NODE_71_length_15045_cov_9.384790	15045	58.35
NODE_72_length_15041_cov_8.835598	15041	56.38
NODE_73_length_14982_cov_9.696716	14982	57.20
NODE_74_length_14901_cov_9.806549	14901	56.89
NODE_75_length_14618_cov_10.484338	14618	58.63
NODE_76_length_14235_cov_10.316064	14235	57.06
NODE_77_length_13712_cov_9.403640	13712	57.50
NODE_78_length_13706_cov_9.241208	13706	58.13
NODE_79_length_13424_cov_9.461739	13424	56.24
NODE_80_length_13264_cov_9.649490	13264	58.63
NODE_81_length_12983_cov_9.554655	12983	56.82
