PathParameter	MaxPathLikelihood	MLContribution
0.51608	-4.6368e+06	-48985
0.52664	-4.6368e+06	-49682
0.53735	-4.6368e+06	-50386
0.54822	-4.6368e+06	-51095
0.55924	-4.6368e+06	-51809
0.57041	-4.6368e+06	-52529
0.58174	-4.6368e+06	-53255
0.59323	-4.6368e+06	-53987
0.60487	-4.6368e+06	-54724
0.61667	-4.6368e+06	-55467
0.62863	-4.6368e+06	-56216
0.64076	-4.6368e+06	-56971
0.65304	-4.6368e+06	-57731
0.66549	-4.6368e+06	-58497
0.67811	-4.6368e+06	-59269
0.69089	-4.6368e+06	-60047
0.70384	-4.6368e+06	-60830
0.71696	-4.6368e+06	-61619
0.73025	-4.6368e+06	-62414
0.74371	-4.6368e+06	-63215
0.75734	-4.6368e+06	-64022
0.77115	-4.6368e+06	-64834
0.78513	-4.6368e+06	-65653
0.79929	-4.6368e+06	-66477
0.81363	-4.6368e+06	-67307
0.82814	-4.6368e+06	-68144
0.84284	-4.6368e+06	-68986
0.85772	-4.6368e+06	-69833
0.87278	-4.6368e+06	-70687
0.88802	-4.6368e+06	-71547
0.90345	-4.6368e+06	-72413
0.91907	-4.6368e+06	-73284
0.93488	-4.6368e+06	-74162
0.95087	-4.6368e+06	-75046
0.96705	-4.6368e+06	-75935
0.98343	-4.6368e+06	-76831
1.0000	-4.6368e+06	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -4637408.804729919
