tip	date	distance	residual
Babortus-2308_1940	2014.8849315068494	0.0013924003603767068	0.0
11-1823-3434_Unknown	2013.6493150684933	0.001352127839623293	-4.033838753644955E-5
1_2011	2011.5	0.0013613540396232929	-3.1226760687872585E-5
NIPH-Bru2_2006	2006.5	0.0013604277396232932	-3.241959478774044E-5
BwIM-IRQ-11_2014	2014.5	0.0013419074396232929	-5.051344022795161E-5
2010724553_2010	2010.8745433789954	0.001360418339623293	-3.219580179136968E-5
BwIM-SYR-14_2015	2015.5	0.001346530639623293	-4.583693340797792E-5
BwIM-JOR-13_2015	2015.5	0.0013622704396232931	-3.0097133407977787E-5
KU-RCF-64_2014	2014.5	0.0014169146396232932	2.4493759772048658E-5
BwIM-SYR-23_2016	2016.5	0.0013622697396232929	-3.0044526588004442E-5
UK37-05_2005	2005.5	0.001350234239623293	-4.266640160771411E-5
BwIM-BGR-21_2016	2016.5	0.001348384239623293	-4.3930026588004335E-5
BwIM-TUR-5_2014	2014.5	0.001371543839623293	-2.0877040227951487E-5
BwIM-TUR-03_2014	2014.5	0.001346539839623293	-4.58810402279514E-5
NIPH-Bru6_1999	1999.5	0.0013585827396232928	-3.463774252755606E-5
BwIM-ALB-46_2015	2015.5	0.001350245739623293	-4.212183340797783E-5
F9-05_2005	2005.5	0.0013511667396232932	-4.173390160771401E-5
BwIM-XXX-54_2015	2015.5	0.001343760539623293	-4.860703340797798E-5
BmWS93_2015	2015.6082191780822	0.0013576781396232931	-3.4683664587734E-5
2007BM-1_2007	2007.8602739726027	0.001339131439623293	-5.364338290796827E-5
CIIMS-BH-2_2016	2016.1475409836066	0.001338196339623293	-5.413671505733906E-5
20236_2012	2012.4153005464482	0.001350235039623293	-4.229696892642113E-5
B15_2018	2018.3704337899544	0.001345606739623293	-4.660781971069054E-5
I-216_1970	1970.5	0.001340976739623293	-5.378964030679093E-5
I-349_1999	1999.5	0.0013372765396232932	-5.594394252755571E-5
BB20_2011	2011.5	0.0013488724396232932	-4.3708360687872306E-5
CIT21_2015	2015.1616438356164	0.0013612484396232929	-3.113717009911978E-5
CIT43_2015	2015.1616438356164	0.001359493539623293	-3.289207009911973E-5
BB1_1973	1973.5	0.001334494139623293	-6.0112319846870096E-5
Brucellamelitensis-043_Unknown	2013.021917808219	0.001374331339623293	-1.8168332089255014E-5
I-136_1959	1959.5	0.0013409759396232931	-5.4376815326500835E-5
BB9_1990	1990.5	0.0013261603396232929	-6.753990390731871E-5
I-280_1983	1983.5	0.001338202439623293	-5.587095164713389E-5
I-340_1995	1995.5	0.0013419023396232929	-5.1531369807450563E-5
BB17_2010	2010.5	0.0013483854396232932	-4.424866750784586E-5
BB7_1980	1980.5	0.0013557933396232931	-3.843997210705471E-5
BwIM-IRN-28_2015	2015.5	0.001339124739623293	-5.324283340797783E-5
NIPH-Bru45_2016	2016.5	0.001337274239623293	-5.5040026588004274E-5
BwIM-KWT-42_2016	2016.5	0.0013567193396232932	-3.5594926588004144E-5
KU-RCF-31_2014	2014.5	0.001428069939623293	3.564905977204843E-5
BwIM-TUR-38_2015	2015.5	0.0013437534396232931	-4.86141334079778E-5
KU-RCF-96_2014	2014.5	0.0013650560396232928	-2.736484022795166E-5
NIPH-Bru47_2016	2016.5	0.001376204939623293	-1.6109326588004298E-5
BwIM-TKM-56_2015	2015.5	0.001340050839623293	-5.231673340797796E-5
548_1948	1948.6748633879781	0.0013400515396232932	-5.5878268935067666E-5
BL_2012	2012.5	0.001332638839623293	-5.9888653867898756E-5
NI_2007	2007.5	0.0013761675396232929	-1.6626487967766942E-5
I-194_1965	1965.5	0.001335416839623293	-5.961607440665897E-5
I-338_1993	1993.5	0.001334489539623293	-5.905078344739761E-5
Brm-1252-10-Geo_2010	2010.5	0.001338195339623293	-5.443876750784609E-5
C-568_2014	2014.5	0.001339121139623293	-5.329974022795156E-5
C-570_2014	2014.5	0.001334491639623293	-5.792924022795143E-5
F2-06-6_2006	2006.5	0.001334489639623293	-5.835769478774056E-5
BB4_1957	1957.5	0.001340052039623293	-5.5407328966448205E-5
