Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
2014_TURKEY_GCF_002192155.1	GCF_002192155.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002192175.1	GCF_002192175.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002192195.1	GCF_002192195.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_AFGHANISTAN_GCF_900236515.1	GCF_900236515.1	NA	2015	NA	AFGHANISTAN	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_ALBANIA_GCF_002191255.1	GCF_002191255.1	NA	2015	NA	ALBANIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_CHINA_GCA_003516045.1	GCA_003516045.1	NA	2015	NA	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_CHINA_GCA_003516065.1	GCA_003516065.1	NA	2015	NA	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_CHINA_GCA_003516085.1	GCA_003516085.1	NA	2015	NA	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_IRAN_GCF_002191275.1	GCF_002191275.1	NA	2015	NA	IRAN	NA	NA	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_IRAN_GCF_002191295.1	GCF_002191295.1	NA	2015	NA	IRAN	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_IRAQ_GCF_002191875.1	GCF_002191875.1	NA	2015	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_ITALY_GCF_002191355.1	GCF_002191355.1	NA	2015	NA	ITALY	NA	43	NA	West Mediterranean	yes	yes	no	NA	BAPS4
2015_JORDAN_GCF_002191395.1	GCF_002191395.1	NA	2015	NA	JORDAN	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_MALAYSIA_GCF_002204265.1	GCF_002204265.1	NA	2015	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_MALAYSIA_GCF_002204335.1	GCF_002204335.1	NA	2015	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_MALAYSIA_GCF_002204345.1	GCF_002204345.1	NA	2015	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_MALAYSIA_GCF_002245235.1	GCF_002245235.1	NA	2015	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_NA_GCF_002191795.1	GCF_002191795.1	NA	2015	NA	NA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_NA_GCF_002191815.1	GCF_002191815.1	NA	2015	NA	NA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_NA_GCF_002191835.1	GCF_002191835.1	NA	2015	NA	NA	NA	NA	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_SYRIA_GCF_002191455.1	GCF_002191455.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_SYRIA_GCF_002191475.1	GCF_002191475.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_SYRIA_GCF_002191495.1	GCF_002191495.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_SYRIA_GCF_002191515.1	GCF_002191515.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_SYRIA_GCF_002191555.1	GCF_002191555.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_SYRIA_GCF_002191995.1	GCF_002191995.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_SYRIA_GCF_002192055.1	GCF_002192055.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_SYRIA_GCF_002192095.1	GCF_002192095.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2015_SYRIA_GCF_002192115.1	GCF_002192115.1	NA	2015	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_TURKEY_GCF_002191695.1	GCF_002191695.1	NA	2015	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_TURKEY_GCF_002191715.1	GCF_002191715.1	NA	2015	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_TURKEY_GCF_900236455.1	GCF_900236455.1	NA	2015	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2015_TURKMENISTAN_GCF_002191575.1	GCF_002191575.1	NA	2015	NA	TURKMENISTAN	NA	71	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_AFGHANISTAN_GCF_002191235.1	GCF_002191235.1	NA	2016	NA	AFGHANISTAN	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_BULGARIA_GCF_002191855.1	GCF_002191855.1	NA	2016	NA	BULGARIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_CHINA_GCA_003991385.1	GCA_003991385.1	NA	2016	HUMAN	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_INDIA_GCA_002871075.1	GCA_002871075.1	NA	2016	NA	INDIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_INDIA_GCA_002895105.1	GCA_002895105.1	NA	2016	NA	INDIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_INDIA_GCA_002895125.1	GCA_002895125.1	NA	2016	NA	INDIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_INDIA_GCA_003205535.1	GCA_003205535.1	NA	2016	NA	INDIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_IRAQ_GCF_900236415.1	GCF_900236415.1	NA	2016	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_ITALY_GCF_002191375.1	GCF_002191375.1	NA	2016	NA	ITALY	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS4
2016_KUWAIT_GCF_002191895.1	GCF_002191895.1	NA	2016	NA	KUWAIT	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_MOROCCO_GCF_002191415.1	GCF_002191415.1	NA	2016	NA	MOROCCO	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS5
2016_NA_GCF_900236465.1	GCF_900236465.1	NA	2016	NA	NA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_NORWAY_GCF_900236345.1	GCF_900236345.1	NA	2016	NA	NORWAY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_SOMALIA_GCF_900236495.1	GCF_900236495.1	NA	2016	NA	SOMALIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2016_SYRIA_GCF_002191535.1	GCF_002191535.1	NA	2016	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_SYRIA_GCF_002192015.1	GCF_002192015.1	NA	2016	NA	SYRIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2016_SYRIA_GCF_002192035.1	GCF_002192035.1	NA	2016	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_SYRIA_GCF_002192075.1	GCF_002192075.1	NA	2016	NA	SYRIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2016_TURKEY_GCF_002191595.1	GCF_002191595.1	NA	2016	NA	TURKEY	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2018_CHINA_GCA_004208655.1	GCA_004208655.1	NA	2018	HUMAN	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2018_CHINA_GCA_004208675.1	GCA_004208675.1	NA	2018	HUMAN	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2018_CHINA_GCA_004208695.1 	GCA_004208695.1 	NA	2018	HUMAN	CHINA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2018_INDIA_GCA_003989635.1	GCA_003989635.1	NA	2018	GOAT	INDIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2018_INDIA_GCA_003989875.1	GCA_003989875.1	NA	2018	GOAT	INDIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2018_INDIA_GCA_003989885.1	GCA_003989885.1	NA	2018	GOAT	INDIA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2018_INDIA_GCA_003989895.1	GCA_003989895.1	NA	2018	GOAT	INDIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
