Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
2015-IS-5947-1-7	NA	SRR6957978	2015	CATTLE	ITALY	MOLISE	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-IS-6043-1-8	NA	SRR6957977	2015	CATTLE	ITALY	MOLISE	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-TE-11843-1-1	NA	SRR6957976	2015	NA	ITALY	LAZIO	43	3	West Mediterranean	no	no	yes	C4	BAPS4
2016-TE-17270-1-1	NA	SRR6957975	2016	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-TE-11847-1-2	NA	SRR6957974	2015	NA	ITALY	LAZIO	43	3	West Mediterranean	yes	no	yes	C4	BAPS4
2015-TE-11845-1-1	NA	SRR6957973	2015	NA	ITALY	LAZIO	43	3	West Mediterranean	no	no	yes	C4	BAPS4
2011-TE-19513-1-1	NA	SRR6957972	2011	HUMAN	ITALY	EMILIA ROMAGNA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
2015-TE-11847-1-1	NA	SRR6957971	2015	NA	ITALY	LAZIO	43	3	West Mediterranean	no	no	yes	C4	BAPS4
2011-TE-3922-1-1	NA	SRR6957970	2011	GOAT	ITALY	CAMPANIA	11	3	West Mediterranean	no	no	yes	C8	BAPS4
2015-IS-3681-1-8	NA	SRR6957968	2015	SHEEP	ITALY	MOLISE	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16142-1-2	NA	SRR6957967	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-CB-3742-1-27	NA	SRR6957966	2015	SHEEP	ITALY	MOLISE	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-IS-3088-1-30	NA	SRR6957965	2015	SHEEP	ITALY	MOLISE	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16194-1-1	NA	SRR6957964	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2016-TE-703-1-2	NA	SRR6957963	2016	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16165-1-2	NA	SRR6957962	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16189-1-1	NA	SRR6957961	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2014-TE-16510-1-7	NA	SRR6957960	2014	GOAT	ITALY	LAZIO	11	3	West Mediterranean	yes	yes	yes	C2	BAPS4
2016-CB-1265-1-7	NA	SRR6957959	2016	CATTLE	ITALY	MOLISE	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2011-TE-4478-1-1	NA	SRR6957958	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
2011-TE-11826-1-1	NA	SRR6957957	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	C19	BAPS5
2011-TE-4486-1-1	NA	SRR6957956	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
2011-TE-4479-1-1	NA	SRR6957955	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
2011-TE-4474-1-1	NA	SRR6957954	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
