tip	date	distance	residual
Babortus-2308_1940	2014.8849315068494	0.008769779411536444	6.938893903907228E-18
16M-VerB_Unknown	2009.7123287671234	0.008825202888463557	3.259736944415635E-5
Reference	1960.875	0.009325358188463558	3.172390930664976E-4
16M-VerC_Unknown	2014.3808219178081	0.008826265988463557	5.426199865547418E-5
2011TE2103111_2011	2011.5	0.008834499488463557	4.97827592389824E-5
CNGB1076_2006	2006.5	0.008784638088463557	-2.2143071987930016E-5
CNGB1120_2006	2006.5	0.008784629688463557	-2.215147198792941E-5
CNGB290_1996	1996.5	0.008782488788463558	-6.842123444175327E-5
B115_1962	1962.5	0.008709703588463558	-2.912445667847558E-4
F3-02_2002	2002.5	0.008776471688463558	-4.796101696945797E-5
F10-05-2_2005	2005.5	0.008809234188463558	-1.9598582333101022E-6
