00-2529-3_2000	OWOS01000030.1	2000-
00-2782_2000	OWOT01000025.1	2000-
00-2956-4_2000	OWOR01000027.1	2000-
00-3099-5733_2000	OWOX01000024.1	2000-
00-3099-5734_2000	OWOW01000024.1	2000-
00-4216_2000	OWOQ01000029.1	2000-
01-3016-5171_2001	OWOP01000025.1	2001-
02-5863-1_Unknown	KI518498.1 	2013-08-26
02-7258_Unknown	AXMQ01000001.1	2013-08-26 	
11-1823-3434_Unknown	AXNC01000001.1	2013-08-26
1_2011	LT962945.1	2011-
128_1986	AMPB01000001.1	1986-04
133_1998	AMPA01000001.1	1998-03	
16M-VerB_Unknown	GG703792.1	2009-09-18
16M-VerC_Unknown	CP007763.1	2014-05-20
1-VerB_2013	LT962934.1 	2013-
2007BM-1_2007	CP023171.1 	2007-11-11
2008724259_2007	CP016983.1	2007-08
2010724553_2010	CP016985.1 	2010-11
2011TE116411_2011	QVYP01000036.1	2011
2011TE116911_2011	QVYW01000036.1	2011
2011TE117111_2011	QVZB01000032.1	2011	
2011TE1178211_2011	QVXY01000031.1	2011 
2011TE1178911_2011	QWAU01000023.1	2011 
2011TE1179111_2011	QVXU01000034.1	2011 
2011TE1179311_2011	QVYB01000034.1	2011 
2011TE1179811_2011	QVZE01000059.1	2011 
2011TE1180211_2011	QVYY01000035.1	2011 
2011TE1180311_2011	QVXW01000034.1	2011 
2011TE1180511_2011	QVYT01000034.1	2011 
2011TE1181011_2011	QVXZ01000035.1	2011 
2011TE1181411_2011	QVXX01000030.1	2011 
2011TE1181511_2011	QVZU01000027.1	2011 
2011TE1182111_2011	QVYK01000032.1	2011 
2011TE1182611_2011	QVZA01000032.1	2011 
2011TE1182811_2011	QVYG01000027.1	2011 
2011TE1184211_2011	QWBD01000031.1	2011 
2011TE1184411_2011	QVZK01000056.1	2011 
2011TE1237211_2011	QVYI01000034.1	2011 
2011TE1237311_2011	QVXV01000034.1	2011 
2011TE1284111_2011	QWAN01000056.1	2011 
2011TE1284911_2011	QVYC01000032.1	2011 
2011TE1354111_2011	QVZL01000044.1	2011 
2011TE1951311_2011	QWAM01000036.1	2011 
2011TE199411_2011	QVXR01000027.1	2011 
2011TE199511_2011	QWAO01000022.1	2011 
2011TE2103111_2011	QVZF01000049.1	2011 
2011TE2168711_2011	QWAR01000037.1	2011 
2011TE229911_2011	QVYF01000029.1	2011 
2011TE246111_2011	QVYJ01000027.1	2011 
2011TE392211_2011	QVXQ01000026.1	2011 
2011TE446711_2011	QVZG01000033.1	2011 
2011TE447111_2011	QVYZ01000031.1	2011 
2011TE447411_2011	QVYH01000031.1	2011 
2011TE447811_2011	QVYD01000030.1	2011 
2011TE447911_2011	QVYR01000029.1	2011 
2011TE448011_2011	QVXP01000033.1	2011 
2011TE448411_2011	QVYM01000030.1	2011 
2011TE448611_2011	QVYU01000036.1	2011 
2011TE448811_2011	QVXS01000049.1	2011 
2011TE449111_2011	QVYQ01000035.1	2011 
2011TE449611_2011	QVYA01000031.1	2011 
2011TE450011_2011	QVYE01000030.1	2011 
2011TE605711_2011	QVZC01000029.1	2011 
2011TE607611_2011	QVZX01000025.1	2011 
2011TE629911_2011	QWAP01000024.1	2011 
2011TE629912_2011	QVYN01000027.1	2011 
2011TE683711_2011	QVXT01000083.1	2011 
2011TE683811_2011	QVYO01000033.1	2011 
2011TE683911_2011	QVYS01000035.1	2011 
2011TE684011_2011	QVYV01000032.1	2011 
2011TE684411_2011	QVYX01000035.1	2011 
2011TE74411_2011	QVYL01000032.1	2011 
2011TE755611_2011	QWAZ01000042.1	2011 
2012TE1848511_2012	QWAT01000037.1	2012 
2012TE2422611_2012	QWBH01000042.1	2012 
2012TE2424011_2012	QVZS01000043.1	2012 
2013TE1352811_2013	QWAX01000055.1	2013
2013TE1500311_2013	QWBC01000067.1	2013
2013TE1500511_2013	QWBO01000037.1	2013
2013TE1501611_2013	QWAE01000063.1	2013
2013TE1501911_2013	QWAQ01000043.1	2013
2013TE1502111_2013	QWBL01000063.1	2013
2013TE1502811_2013	QWBA01000058.1	2013
2013TE1502911_2013	QWAW01000041.1	2013
2013TE254711_2013	QVZI01000038.1	2013
2014TE1651012_2014	QWBM01000042.1	2014-07-09 
2014TE1651017_2014	QWAG01000044.1	2014-07-09
2015CB2220119_2015	QWBE01000030.1	2015-03-22
2015CB3742120_2015	QWBP01000030.1	2015-05-21
2015CB3742127_2015	QWAV01000031.1	2015-05-21
2015IS2529114_2015	QWBB01000041.1	2015-04-14
2015IS2533111_2015	QVZD01000036.1	2015-04-14
2015IS2547111_2015	QVZP01000036.1	2015-04-14
2015IS256619_2015	QVZW01000033.1	2015-04-14
2015IS3088130_2015	QWAI01000093.1	2015-04-29
2015IS3088136_2015	QWAH01000257.1	2015-04-29
2015IS3088142_2015	QWAB01000083.1	2015-04-29
2015IS341317_2015	QVZT01000031.1	2015-04-30
2015IS368118_2015	QWAJ01000031.1	2015-04-30
2015IS508818_2015	QWAK01000045.1	2015-05-06
2015IS594717_2015	QWBQ01000033.1	2015-07-22
2015IS604318_2015	QVZJ01000046.1	2015-07-24
2015TE1184311_2015	QWAF01000044.1	2015-04-28
2015TE1184511_2015	QVZV01000038.1	2015-04-28
2015TE1184711_2015	QWAA01000036.1	2015-04-28
2015TE1184712_2015	QVZZ01000034.1	2015-04-28
2015TE1184913_2015	QWBK01000039.1	2015-04-28
2015TE1614211_2015	QWBI01000032.1	2015-04-24
2015TE1614212_2015	QWBF01000034.1	2015-04-24
2015TE1616512_2015	QWAY01000035.1	2015-04-24
2015TE1617311_2015	QVZY01000037.1	2015-04-24
2015TE1618111_2015	QWBS01000028.1	2015-04-24
2015TE1618911_2015	QWAD01000032.1	2015-05-05
